qucb,thomp,ucb
113.59364,26.521551,125.11593
96.943245,184.71266,288.23022
52.63413,52.25628,95.11703
62.217365,15.075907,235.15942
59.453617,33.88476,479.44345
42.120422,173.36327,259.098
51.129765,1.6915439,108.91481
39.184002,71.46976,71.84083
96.16915,55.92666,256.3305
45.416183,59.128925,73.77953
88.766106,156.13046,430.62845
95.118835,63.473633,398.3585
78.89491,109.81749,178.95004
78.74304,349.11746,503.367
117.3612,253.0159,272.78064
55.547916,5.7159095,98.68407
106.11169,72.18489,350.06866
42.302025,137.20802,144.02943
41.919273,53.492836,72.87004
35.379353,188.95067,267.51993
16.04259,9.725625,30.641197
83.27298,110.16008,332.75015
70.65419,158.90591,325.74503
51.564617,206.67856,340.29803
76.45617,18.827187,487.02466
77.99515,111.82024,280.3018
79.5963,222.58904,135.43443
65.19092,82.4101,369.26212
66.12947,222.1017,211.71703
64.13089,32.92262,64.412865
83.96644,103.696625,384.1934
0.73276895,225.7492,171.14539
113.822586,94.71155,552.6932
44.248432,120.129364,141.46619
88.8925,181.66077,243.21637
118.870995,60.300518,316.5459
26.148174,42.51924,27.447496
69.10275,137.78932,305.33124
42.15481,44.385902,40.533745
39.738853,293.7267,254.23372
62.945484,16.136408,319.51242
52.2419,56.468403,218.04836
47.47158,7.701027,51.613716
71.03883,116.67775,322.42273
48.615604,106.903496,156.38718
64.94873,39.93601,351.11304
68.89819,127.187584,236.94734
115.25461,97.385735,399.00333
41.69497,134.4733,89.88705
77.28437,92.33494,126.91583
79.027405,43.403454,131.93404
117.161674,72.95243,440.59967
69.174545,28.148638,405.276
92.71975,80.31547,461.52002
12.882714,23.411926,13.626689
82.777,147.16684,113.83149
81.5289,524.3769,329.6165
109.245804,100.22194,176.64278
67.410805,9.678558,44.991478
113.79592,869.4188,359.95013
114.1057,181.13312,312.24686
42.95811,18.188189,77.37263
41.22542,469.4673,237.94582
94.8874,35.077824,541.03546
88.58966,212.27873,359.47595
138.90962,21.635345,493.9306
425.01294,238.92372,168.66676
69.84142,93.264496,255.2367
94.79541,336.97787,308.07202
55.16125,52.263794,96.0054
28.862242,57.64978,28.253933
42.429817,84.4886,142.28247
55.242996,165.30035,95.00351
40.40082,51.146324,259.7581
93.36049,202.13547,271.946
155.56912,145.4681,260.94913
73.67134,93.28639,257.8114
138.62993,66.260574,246.58047
91.60426,192.6355,398.7998
77.227745,95.06715,267.31247
91.61834,447.9679,294.72443
10.394433,30.232042,79.321785
83.769394,160.63008,408.55084
80.231575,255.88441,271.26788
63.32608,139.13692,172.55804
45.633633,234.20605,288.11664
84.77528,270.20987,247.7291
91.07311,149.21394,625.4896
16.805742,32.64646,15.393306
52.443695,39.330364,143.83772
63.398483,26.345749,127.050674
76.00257,301.85938,479.3027
87.809845,121.20905,278.56924
115.93496,94.02544,117.51913
102.13876,14.79335,343.9134
60.319397,206.44199,428.63907
103.03852,233.07219,524.7927
8.250106,30.909721,50.093933
77.933395,83.90073,386.44937
55.49642,470.01474,322.51154
87.76145,124.23277,147.58498
65.40336,23.589277,383.5421
11.234179,18.349995,13.099303
38.032433,109.32958,139.1499
62.58729,68.246544,103.895035
108.897964,302.07816,395.62997
86.068565,36.257954,308.37946
109.75077,31.37558,350.9904
63.220325,30.578112,416.03427
34.63255,32.936077,34.96579
99.19539,133.76407,112.192924
85.33089,69.020905,152.89987
