turn,qucb_mean,ucb_mean,thomp_mean
1,0.0032332034,0.0031824387,0.0030980294
1257,1.9291269,1.9342389,1.8490671
2513,3.7591417,3.828381,3.5903513
3769,5.8738394,5.677844,5.238519
5026,7.1614404,7.5154,6.8439684
6282,8.550823,9.341658,8.408559
7538,11.267363,11.163722,9.934279
8794,12.752071,12.986218,11.41878
10051,13.294049,14.797115,12.863209
11307,14.044713,16.577328,14.263298
12563,15.330737,18.335371,15.624988
13819,17.795195,20.111313,16.969578
15076,20.261618,21.800535,18.294054
16332,22.619408,23.4822,19.58732
17588,22.887964,25.181664,20.854681
18844,23.166302,26.919558,22.105373
20101,23.456694,28.567612,23.33038
21357,24.311504,30.267344,24.550673
22613,25.318031,31.957014,25.754301
23870,26.325357,33.584465,26.941292
25126,27.5295,35.22299,28.119413
26382,28.908707,36.870102,29.282175
27638,30.287916,38.51537,30.423822
28895,31.66822,40.197018,31.543549
30151,33.04743,41.88877,32.655643
31407,34.426636,43.60322,33.760284
32663,35.791737,45.302357,34.853977
33920,35.905506,46.92171,35.939846
35176,36.022846,48.494156,37.006927
36432,36.146248,50.05359,38.05603
37688,36.38739,51.659122,39.084946
38945,36.668346,53.215454,40.11364
40201,36.949078,54.72048,41.13329
41457,37.599712,56.204666,42.13443
42714,38.635475,57.714096,43.127495
43970,39.670418,59.314438,44.110718
45226,40.70536,60.861347,45.079807
46482,41.7403,62.408585,46.049652
47739,42.776066,63.919327,47.010887
48995,43.81101,65.430725,47.9662
50251,44.334732,66.95954,48.903496
51507,44.843796,68.4096,49.826218
52764,45.353268,69.87308,50.736588
54020,45.862335,71.24623,51.639122
55276,46.371403,72.63999,52.53278
56532,46.88047,74.07844,53.41229
57789,47.389942,75.549095,54.288456
59045,47.89901,77.06184,55.16109
60301,48.408073,78.60719,56.024567
61558,48.917545,80.13029,56.879494
62814,49.426613,81.70835,57.72636
64070,49.93568,83.19197,58.5663
65326,50.444748,84.6118,59.398476
66583,50.53543,86.01137,60.219734
67839,50.59569,87.4553,61.02221
69095,50.655952,88.818245,61.815
70351,50.734524,90.30583,62.60106
71608,50.822292,91.79747,63.382153
72864,50.909996,93.24494,64.16233
74120,51.11417,94.61726,64.939705
75376,51.48649,96.01173,65.70861
76633,51.859097,97.38353,66.472336
77889,52.231415,98.79725,67.22855
