turn,DQN,A2C,PPO
136934,314.52876785692933,252.7213214284059,326.4479642854899
138190,317.29774999978395,254.5969107141185,329.21078571405883
139446,319.89107142835303,256.4707857141168,331.95814285691347
140702,322.6021249997791,258.3444642855437,334.7754464283394
141959,325.34035714263376,260.2230714283991,337.6086964283369
143215,327.96364285691715,262.0836607141117,340.4157499997629
144471,330.82062499977167,263.8984464283958,343.2323571426175
145728,333.63694642834054,265.7701071426798,346.0076249997578
146984,336.37385714262376,267.6156785712496,348.85573214261234
148240,339.175374999764,269.46233928553363,351.65441071403836
149496,341.89458928547583,271.29351785696053,354.37464285689305
150753,344.63142857118766,273.1231964283874,357.13898214260485
152009,347.3680892854709,274.94391071410007,359.8814107140309
153265,350.15351785689694,276.76480357124126,362.6283035711713
154521,352.952571428323,278.5658392855254,365.3004999997402
155778,355.6678571426062,280.3604999998094,368.04319642830916
157034,358.3385892854609,282.1778035712363,370.7826964283067
158290,360.9593392854585,284.0120892855204,373.49007142830425
159547,363.64960714259894,285.88385714266155,376.14749999973037
160803,366.32814285688227,287.733714285517,378.8486071425851
162059,369.0602678568797,289.5288392855154,381.62153571401115
163315,371.87469642830575,291.3300357140852,384.2291071425802
164572,374.5088749997319,293.10926785694073,386.89962499972063
165828,377.22660714258654,294.8857142855106,389.5680714282896
167084,379.8495178568699,296.62667857122324,392.23774999971573
168341,382.5548035711532,298.4163214283645,394.8409999997134
169597,385.1778035711508,300.16292857122005,397.4815357139967
170853,387.8235357140055,301.9275178569327,400.1540178568514
172109,390.46864285686024,303.72855357121676,402.90573214256324
173366,393.22403571400065,305.46560714264376,405.6917321425607
174622,395.90355357114106,307.2242857140708,408.4158928568439
175878,398.59598214256715,308.92473214264066,411.1313571425557
177134,401.2928571425647,310.65807142835337,413.85810714255325
178391,404.00099999970513,312.36532142835176,416.49739285683654
179647,406.69235714255984,314.1063749997788,419.1382321425484
180903,409.45033928541443,315.8272142854915,421.8469999996889
182160,412.16126785684054,317.5196964283471,424.5742678568292
183416,414.86935714255236,319.22441071405984,427.23542857111255
184672,417.5095535711214,320.8968392854869,429.8956428568244
185928,420.29067857111886,322.5828035711997,432.56232142825047
187185,423.0057678568307,324.24787499976964,435.1940714282481
188441,425.6589642853997,325.9472321426252,437.77460714253147
189697,428.29324999968304,327.6114999997665,440.44473214252906
190954,431.01010714253766,329.31664285690783,443.1334821425266
192210,433.7089464282495,331.0087321426206,445.8515892853813
193466,436.5155535711041,332.68760714261913,448.5409642853789
194722,439.1360714282446,334.39233928547475,451.12269642823367
195979,441.8647321425278,336.10046428547315,453.759857142517
197235,444.5417142853825,337.8020178569002,456.4841428568002
198491,447.21692857109434,339.54173214261294,459.0214821425122
199747,449.8350892853777,341.2799464283256,461.7627678567954
201004,452.6151607139466,343.01378571403836,464.424892856793
202260,455.3422857139441,344.7661607140368,467.0864464282191
203516,458.0114107139417,346.4720892854638,469.70808928535956
204773,460.6937678567964,348.1959285711766,472.3638035710715
206029,463.40989285679393,349.9113035711765,474.9317142853549
207285,466.11289285679146,351.62041071403536,477.5858214282096
208541,468.843392856789,353.3099107140377,480.20374999963576
209798,471.47787499964375,355.02699999975465,482.84453571391913
211054,474.22987499964125,356.72137499975827,485.5021607139167
212310,476.84383928535317,358.4394642854771,488.25669642819986
213566,479.4731071424936,360.1675714283392,490.91169642819744
214823,482.072517856777,361.8709999997738,493.6119821424807
216079,484.74571428534597,363.59832142835273,496.2682321424783
217335,487.53808928534346,365.33930357121744,498.89546428533305
218592,490.1799285710553,367.04539285693966,501.4703749996164
219848,492.8443035710528,368.78028571409067,504.19494642818535
221104,495.6101249996218,370.4923035712417,506.85349999961153
222360,498.3442678567622,372.2566607141069,509.5991607138947
223617,500.9936249996169,373.9849999998299,512.3370178567494
224873,503.7817142853287,375.66966071412475,514.9914642853188
226129,506.52549999961184,377.3593214284199,517.6229821424597
227386,509.17489285675236,379.086464285573,520.3436607138863
228642,511.9347142853212,380.82196428558467,523.0283928567414
229898,514.6277321424616,382.5979285713103,525.7126249995976
231154,517.4400357138876,384.3270178570362,528.5062321424547
232411,520.1417142853138,386.07880357133325,531.134964285312
233667,522.847624999597,387.8128571427734,533.7485178567416
234923,525.4647678567375,389.5745357142134,536.3961607138856
236179,528.1638749995922,391.28364285708295,539.0984464281727
237436,530.7760535710183,392.99160714281055,541.7169464281748
238692,533.4246071424445,394.7492142856812,544.3646071424625
239948,536.0958749995849,396.47676785712355,547.0696964281789
241205,538.7702321424397,398.1613749999947,549.6723392853243
242461,541.4795714281515,399.90153571429454,552.3414107138992
243717,544.2096428567205,401.63055357145197,554.9806964281884
244973,546.8168392852895,403.34312500003824,557.6570178567631
246230,549.4617321424299,405.0309821429099,560.3493749996233
247486,552.1259642852847,406.711535714353,563.0326964281984
248742,554.7814999995679,408.4410535715112,565.7202321424879
249999,557.5153749995656,410.1271785715266,568.3903928567786
