turn,qucb_mean,qucb_low,qucb_high,ucb_mean,ucb_low,ucb_high,thomp_mean,thomp_low,thomp_high
0,0.005,0.004999999888241291,0.004999999888241291,0.005,0.004999999888241291,0.004999999888241291,0.0042,0.004015773525411264,0.004384226474588735
1250,3.789,3.746056094947906,3.831943973716645,3.0904,3.033076925550544,3.147723035539544,3.7979999999999414,3.6949216244056826,3.9010783755942002
2500,6.5259995,6.391337471823679,6.660661620278372,6.169,6.063441054711025,6.274559242835362,7.518800000000007,7.27660172243269,7.760998277567324
3750,9.5,9.439685197593533,9.560314802406467,9.057651,8.900854885219657,9.214446246982492,11.169600000000207,10.835849626943986,11.503350373056428
5000,10.84425,10.654543306785143,11.03395614389845,11.92125,11.712437637539312,12.130063049106196,14.16420000000032,13.698214248278184,14.630185751722458
6250,12.57875,12.231102366440878,12.926396946913615,14.8661995,14.602702641506392,15.129696345310014,16.902200000000395,16.28617607484528,17.51822392515551
7500,17.64125,17.485652079740063,17.79684914096306,17.728249,17.395507139450494,18.06099005293232,19.128200000000916,18.33542650412864,19.92097349587319
8750,20.04375,19.89562297227805,20.191878553600855,20.61395,20.237594290699995,20.99030716804024,21.311800000001316,20.339605628198097,22.283994371804535
10000,20.10625,19.932289415507782,20.280212110371124,23.367548,22.928081503595312,23.80701447418789,23.833400000001546,22.69690729386057,24.969892706142524
11250,20.28045,20.108398008600027,20.452503633245676,26.3228,25.838583879812425,26.80701548542195,26.04080000000182,24.720585534106018,27.36101446589762
12500,21.965252,21.77421004026043,22.156293804954412,29.109098,28.5843452844888,29.633851584407683,28.34840000000207,26.844556165964388,29.85224383403975
13750,27.965252,27.779110796747172,28.15139304846767,31.72915,31.20185180244097,32.25644974174848,30.629400000001333,28.934549860205813,32.32425013979685
15000,33.965252,33.71404868424177,34.21645516097308,34.4068,33.83399340425848,34.97960522855402,32.54540000000024,30.65159229203512,34.439207707965366
16250,39.965252,39.61616648106439,40.314337364150454,37.21395,36.56758273334776,37.860319488331925,34.322199999999384,32.22227166990928,36.422128330089485
17500,40.06605,39.7151859972708,40.41691696903779,39.8848,39.16867343999849,40.60092647455229,35.9815999999986,33.67835643853289,38.284843561464314
18750,40.06605,39.7151859972708,40.41691696903779,42.46425,41.70644305836624,43.222054256086885,37.81159999999786,35.31020504485503,40.31299495514069
20000,40.06605,39.7151859972708,40.41691696903779,45.08875,44.30667540122752,45.87082246254201,39.83499999999722,37.13568838928724,42.534311610707206
21250,40.1985,39.92332976145714,40.473673412370985,47.5195,46.70410989082977,48.33489157401398,41.918599999996694,39.01411821927562,44.823081780717764
22500,40.386,40.217983891455745,40.55401928237238,49.9642,49.10234825587751,50.82604987644671,43.947599999996136,40.837047422759866,47.058152577232406
23750,40.5735,40.5126380541552,40.63436511967293,52.6619,51.71603591197003,53.60776322133075,46.046599999995614,42.73006337175575,49.36313662823548
25000,40.788002,40.73482647503127,40.84117755328904,55.39165,54.405851854462085,56.37745045266682,48.124999999995,44.609360980248816,51.64063901974118
26250,41.038,40.86173116935467,41.21426522957111,58.070698,57.04807194629106,59.093323622556596,50.11779999999434,46.412474634765196,53.82312536522348
27500,41.288,40.988639678375336,41.587356720550446,60.765247,59.686369410159166,61.84412527978224,51.97739999999365,48.093183559584354,55.86161644040295
28750,41.538,41.115548187396,41.96044821152978,63.2213,62.10269155005554,64.33990488549134,53.81519999999283,49.74278843072838,57.887611569257274
30000,41.788,41.242456771545754,42.33353962738003,65.78045,64.60945782086455,66.95144000628389,55.452399999992004,51.18483304687042,59.719966953113584
31250,42.038,41.36936528056642,42.70663111835936,68.488396,67.26133220362682,69.71545917820912,57.093999999991155,52.634815672261965,61.553184327720345
32500,42.288,41.496273789587086,43.079722609338695,70.943,69.662674131748,72.22332745516606,58.78499999999053,54.13411994424784,63.43588005573322
33750,42.317802,41.51140545950574,43.1241993988927,73.28845,71.96158021105487,74.61532408582013,60.53119999998998,55.69084354287941,65.37155645710055
35000,42.317802,41.51140545950574,43.1241993988927,75.4721,74.09906251143755,76.84513609696089,62.269199999989404,57.238130509739136,67.30026949023967
36250,42.317802,41.51140545950574,43.1241993988927,77.779305,76.368096837528,79.19051217126106,64.23579999998893,59.01960918293035,69.4519908170475
37500,42.317802,41.51140545950574,43.1241993988927,80.1129,78.64443555842087,81.58136400212601,66.10419999998835,60.704202512749596,71.5041974872271
38750,42.317802,41.51140545950574,43.1241993988927,82.52425,80.99428270697628,84.05420972466435,67.75079999998768,62.15821479217676,73.3433852077986
40000,42.317802,41.51140545950574,43.1241993988927,84.8841,83.28315231248062,86.48505142287094,69.29719999998696,63.51094104025781,75.0834589597161
41250,44.21965,43.45147069211198,44.98782984499739,87.3409,85.69303293429476,88.98876027859586,70.85839999998609,64.87758089842421,76.83921910154797
42500,50.03215,49.368615599424814,50.69568493768456,89.8049,88.14010889731343,91.46969334878032,72.41959999998515,66.24401867795586,78.59518132201444
43750,55.84465,55.25998817924883,56.429312357860546,92.140144,90.40780454499996,93.8724841512891,73.91519999998421,67.54065733470561,80.2897426652628
45000,61.65715,61.114237415265784,62.20006312184359,94.3732,92.58022715566297,96.16617177011828,75.44019999998339,68.8699423547471,82.01045764521969
46250,67.46965,66.92279372436626,68.01650681274312,96.4918,94.67998499811728,98.30361180364054,76.81039999998268,70.05816830617938,83.56263169378597
47500,73.28215,72.68656408701777,73.8777364500916,98.863,97.00457102316518,100.7214269016395,78.232999999982,71.30320507393259,85.16279492603141
48750,79.09465,78.41511599759085,79.77418453951853,101.148796,99.2837929490821,103.01379921400384,79.66519999998134,72.54833938027495,86.78206061968773
50000,80.39665,79.69466409046497,81.0986403528944,103.20525,101.28907598716977,105.12143121497867,81.10779999998061,73.80197524883417,88.41362475112706
51250,80.39665,79.69466409046497,81.0986403528944,105.55815,103.56280110109095,107.55350138914342,82.5857999999799,75.08654116835183,90.08505883160797
52500,80.39665,79.69466409046497,81.0986403528944,108.1943,106.10770644498693,110.28088913606776,83.97279999997923,76.28876852827833,91.65683147168014
53750,80.39665,79.69466409046497,81.0986403528944,110.95139,108.80602318636177,113.09676306852104,85.25519999997867,77.40973160910318,93.10066839085417
55000,80.39665,79.69466409046497,81.0986403528944,113.689,111.50362741391703,115.87437856752828,86.4365999999783,78.46574209687812,94.40745790307848
56250,80.39665,79.69466409046497,81.0986403528944,116.289856,114.07278049042347,118.50693142363903,87.72739999997802,79.64691460462322,95.80788539533282
57500,80.39665,79.69466409046497,81.0986403528944,118.753395,116.50046916229715,121.00632099883566,89.14319999997782,80.95603408405542,97.33036591590023
58750,80.39665,79.69466409046497,81.0986403528944,121.173096,118.85546955243811,123.49072185381189,90.5195999999776,82.22682576797787,98.81237423197733
60000,80.39665,79.69466409046497,81.0986403528944,123.557594,121.16508155074023,125.95010704789259,91.70359999997758,83.35212358237182,100.05507641758335
61250,80.39665,79.69466409046497,81.0986403528944,125.72805,123.26407114743395,128.19202931643323,92.38719999997755,84.0152538966479,100.7591461033072
62500,80.39665,79.69466409046497,81.0986403528944,127.477196,124.93589879473325,130.01849268475894,93.06319999997714,84.6699878617395,101.45641213821479
63750,80.39665,79.69466409046497,81.0986403528944,129.61044,126.98867457339308,132.23221165707565,93.75659999997684,85.36086748163876,102.15233251831492
65000,80.39665,79.69466409046497,81.0986403528944,131.7464,129.06126837848552,134.43152947307698,94.46519999997656,86.08633416525602,102.8440658346971
66250,80.39665,79.69466409046497,81.0986403528944,134.15245,131.37963194619797,136.9252691768489,95.05819999997637,86.70231722634003,103.4140827736127
67500,80.39665,79.69466409046497,81.0986403528944,136.74126,133.89130391180458,139.5912095159298,95.69059999997609,87.35724577537891,104.02395422457326
68750,80.39665,79.69466409046497,81.0986403528944,139.1783,136.2552287857609,142.10136911462973,96.24899999997587,87.93423477859089,104.56376522136084
70000,80.39665,79.69466409046497,81.0986403528944,141.7533,138.7811162009284,144.7254755959466,96.87139999997558,88.5769300611582,105.16586993879297
71250,80.39665,79.69466409046497,81.0986403528944,143.6177,140.57954839169122,146.65586420596503,97.46579999997532,89.1897820502285,105.74181794972213
72500,80.39665,79.69466409046497,81.0986403528944,145.4379,142.3864589328027,148.48933452422855,97.98199999997507,89.71756081450157,106.24643918544858
73750,80.41825,79.72860708308733,81.10789499210799,147.6398,144.5208054945732,150.75879655620804,98.46659999997479,90.21278576114084,106.72041423880874
75000,80.60575,80.02326121308593,81.18824086210938,149.9044,146.7332807290815,153.07552664396536,99.00399999997448,90.76456493427334,107.24343506567563
76250,80.79325,80.31791534308452,81.26858673211079,152.005,148.7714240958527,155.2385856697723,99.51799999997418,91.2886889655743,107.74731103437406
77500,80.98075,80.61256947308313,81.34893260211219,154.4934,151.19597617413402,157.79080971453786,100.03939999997395,91.81853722567679,108.26026277427111
78750,81.16825,80.90722360308173,81.42927847211358,157.1476,153.78582627683667,160.50937025636645,100.6049999999737,92.385198062039,108.8248019379084
80000,81.35575,81.20187773308034,81.50962434211498,159.63196,156.20448006138298,163.05943595424202,101.19039999997347,92.9714070329362,109.40939296701073
81250,81.54325,81.49653186307894,81.58997021211637,161.76895,158.30698954390124,165.23091328813,101.68639999997322,93.45682441594596,109.91597558400048
82500,81.625,81.625,81.625,163.7775,160.2710263027275,167.28396637305374,102.15759999997297,93.9239917072826,110.39120829266335
83750,81.625,81.625,81.625,165.85645,162.3057726861061,169.4071179388939,102.72119999997273,94.47816155081898,110.96423844912647
85000,81.625,81.625,81.625,168.06035,164.51730077566845,171.60339624581593,103.2847999999725,95.038046680477,111.53155331946802
86250,81.625,81.625,81.625,170.1542,166.58950948398257,173.71890116054868,103.82479999997238,95.58144722704846,112.06815277289631
87500,81.625,81.625,81.625,172.22055,168.61080362724837,175.83029744697038,104.33939999997223,96.10207840390387,112.57672159604058
88750,81.625,81.625,81.625,174.5259,170.8851383819896,178.16664994808852,104.7699999999721,96.53805022173624,113.00194977820796
90000,81.625,81.625,81.625,176.97705,173.28723052451656,180.66687103798344,105.22579999997193,96.99952585203266,113.45207414791119
91250,81.625,81.625,81.625,179.46045,175.70715183282874,183.21374660467126,105.65519999997179,97.4362354390296,113.87416456091397
92500,81.625,81.625,81.625,181.84,178.0569798293115,185.62301284646975,106.1473999999716,97.93770070785664,114.35709929208656
93750,81.625,81.625,81.625,183.8548,180.04471056757222,187.66488415899028,106.67659999997133,98.47564946906412,114.87755053087854
95000,81.625,81.625,81.625,186.12074,182.26388153869533,189.9776040570078,107.17379999997111,98.98313522474778,115.36446477519443
96250,81.625,81.625,81.625,188.51616,184.62681022700397,192.4055078882304,107.76719999997086,99.5889521039993,115.94544789594241
97500,81.625,81.625,81.625,191.0429,187.13196436533872,194.95382054677066,108.37079999997063,100.20193346302267,116.53966653691859
98750,81.625,81.625,81.625,193.2999,189.3720281037836,197.22776437668514,108.90999999997038,100.74770849661542,117.07229150332535
100000,81.625,81.625,81.625,195.53654,191.60144609044292,199.47164350916646,109.50099999997019,101.35430274392218,117.6476972560182
101250,81.625,81.625,81.625,197.4272,193.47031533557055,201.38408529919508,110.13599999997,102.00534578275708,118.26665421718292
102500,81.625,81.625,81.625,199.36955,195.37548439294662,203.36362083166276,110.82139999996984,102.70570411562603,118.93709588431365
103750,81.625,81.625,81.625,201.4928,197.4526822439216,205.5329134592034,111.49019999996972,103.39022019020044,119.590179809739
105000,81.625,81.625,81.625,203.62415,199.54816796947128,207.70012304615372,112.17419999996959,104.0815718110857,120.26682818885348
106250,81.625,81.625,81.625,205.36096,201.25020723523005,209.47171659289495,112.89239999996938,104.80081811780067,120.9839818821381
107500,81.625,81.625,81.625,207.56186,203.4132323338064,211.71048592791234,113.4629999999692,105.37097237079021,121.55502762914819
108750,81.625,81.625,81.625,210.05495,205.84504617652587,214.26484762230226,114.03019999996879,105.9349243038954,122.12547569604217
