turn,qucb_mean,ucb_mean,thomp_mean
43494,80.27885,84.50942,15.27697
46297,80.33241,86.02824,15.465755
49281,80.38562,87.54361,15.650575
52457,80.39789,89.08753,15.835973
55838,80.41094,90.72373,16.029179
59436,80.42484,92.25469,16.218416
63267,80.439644,94.19878,16.419216
67345,80.75283,95.83637,16.612358
71685,80.860565,97.47221,16.811392
76305,80.89264,99.310265,17.018145
81223,80.893456,100.909645,17.219831
86458,80.90695,102.67481,17.42725
92030,80.92297,104.124374,17.639492
97962,80.94004,105.798325,17.857954
104275,80.94562,107.46992,18.07888
110996,80.95109,109.27942,18.307686
118150,80.95691,111.00956,18.544172
125764,80.963104,112.89566,18.759535
133870,81.11419,114.82561,18.99583
142498,81.347206,116.584755,19.247402
151682,81.41352,118.35398,19.503408
161458,81.41514,119.965866,19.770384
171864,81.42949,121.961624,20.0411
182941,81.44849,123.806725,20.321362
194731,81.468704,125.81365,20.612446
207282,81.47169,127.94214,20.875015
220641,81.47169,129.85867,21.083572
234862,81.47169,131.84552,21.300917
249999,81.47169,133.78767,21.502857
