turn,Random,Greedy,EpsilonGreedy,UCB,ThompsonBernoulli
98,29.314800000000027,11.938800000000018,6.254400000000001,6.2021999999999995,2.6388000000000007
99,29.628600000000027,12.054600000000017,6.288600000000002,6.237,2.6435999999999997
100,29.934600000000028,12.170400000000019,6.3282000000000025,6.2741999999999996,2.6466000000000003
101,30.24000000000003,12.286200000000019,6.363600000000003,6.3072,2.6496000000000004
102,30.540000000000028,12.402000000000019,6.395400000000001,6.3348,2.6514000000000006
103,30.844200000000033,12.517800000000017,6.428400000000003,6.3624,2.6562
104,31.158600000000032,12.633600000000019,6.460800000000002,6.396599999999999,2.6586000000000003
105,31.466400000000036,12.74940000000002,6.496800000000002,6.4308,2.6634
106,31.765200000000032,12.865200000000021,6.5298000000000025,6.4698,2.6663999999999994
107,32.061600000000034,12.981000000000021,6.5664000000000025,6.5123999999999995,2.6694
108,32.36340000000003,13.09680000000002,6.5946000000000025,6.5472,2.6736000000000004
109,32.66340000000003,13.212600000000016,6.630000000000002,6.5778,2.6784
110,32.96580000000004,13.328400000000016,6.659400000000002,6.606,2.679
111,33.25020000000004,13.444200000000015,6.692400000000003,6.63,2.6844000000000006
112,33.54300000000004,13.560000000000015,6.728400000000002,6.6612,2.688
113,33.84000000000004,13.675800000000013,6.765600000000002,6.6852,2.6916
114,34.13640000000004,13.791600000000013,6.799800000000002,6.706199999999999,2.6952000000000003
115,34.42440000000004,13.907400000000012,6.835800000000002,6.7391999999999985,2.6994000000000007
116,34.72200000000004,14.02320000000001,6.8682000000000025,6.7703999999999995,2.7078
117,35.01000000000004,14.139000000000008,6.8934000000000015,6.8064,2.7126000000000006
118,35.30220000000004,14.254800000000008,6.921000000000002,6.835799999999999,2.7156000000000002
119,35.59200000000004,14.370600000000007,6.957000000000002,6.865200000000001,2.718
120,35.88840000000005,14.486400000000005,6.984600000000002,6.8976,2.7234000000000003
121,36.19020000000004,14.602200000000005,7.0176000000000025,6.924600000000001,2.727
122,36.490200000000044,14.718000000000004,7.053600000000002,6.9552,2.7318000000000002
123,36.78060000000005,14.833800000000002,7.081200000000002,7.0013999999999985,2.7336
124,37.072200000000045,14.9496,7.115400000000002,7.0398,2.7354
125,37.383600000000044,15.0654,7.144800000000002,7.070999999999999,2.739
126,37.70400000000004,15.181199999999999,7.168800000000003,7.097999999999999,2.7414
127,38.00280000000004,15.297,7.198800000000001,7.125599999999999,2.745
128,38.31780000000005,15.412799999999997,7.231800000000003,7.148999999999999,2.7516
129,38.62500000000004,15.528599999999996,7.2672000000000025,7.169999999999999,2.7546000000000004
130,38.92560000000005,15.644399999999994,7.2996000000000025,7.195199999999999,2.7594000000000007
131,39.22800000000005,15.760199999999994,7.327200000000002,7.219799999999999,2.763
132,39.52080000000005,15.875999999999992,7.366200000000002,7.2474,2.7641999999999998
133,39.82800000000005,15.991799999999992,7.399800000000001,7.2768,2.7666000000000004
134,40.13400000000005,16.10759999999999,7.423800000000001,7.2984,2.7696000000000005
135,40.428000000000054,16.22339999999999,7.456800000000002,7.3218,2.7714000000000003
136,40.73040000000005,16.33919999999999,7.489200000000002,7.340999999999998,2.7726
137,41.043000000000056,16.454999999999984,7.513200000000003,7.3668,2.7738
138,41.330400000000054,16.570799999999988,7.545000000000002,7.384199999999999,2.775
139,41.63100000000006,16.686599999999988,7.580400000000002,7.404599999999999,2.7786000000000004
140,41.938800000000064,16.802399999999988,7.612200000000002,7.441799999999999,2.781
