model_size,train_err,test_err
1,0.5340200126171112,0.5350773333333334
2,0.382532012462616,0.3950240000000001
3,0.3183720111846924,0.3516733333333334
4,0.28090801239013674,0.33974800000000005
5,0.25804402828216555,0.3476
6,0.23181601762771606,0.36973466666666666
7,0.1987840175628662,0.388212
8,0.16277601718902587,0.40847466666666665
9,0.12048401832580566,0.40946266666666664
10,0.08311201333999634,0.4127213333333333
11,0.05135201215744019,0.4084226666666667
12,0.03169602155685425,0.396584
13,0.018700027465820314,0.39344666666666667
14,0.012748026847839355,0.3855080000000001
15,0.009760010242462158,0.3807413333333334
16,0.006880033016204834,0.3675333333333334
17,0.004800033569335937,0.36756800000000006
18,0.0041640281677246095,0.35846799999999995
19,0.003684031963348389,0.3575493333333334
20,0.0030080437660217284,0.35488
21,0.0024280309677124023,0.3471493333333334
22,0.0020800232887268066,0.3427813333333334
23,0.0020320296287536623,0.34279866666666664
24,0.0019400238990783692,0.3420706666666667
25,0.0016080260276794434,0.33380266666666664
26,0.0012400150299072266,0.3307866666666667
27,0.001024019718170166,0.33177466666666666
28,0.0012360334396362305,0.33099466666666666
29,0.001172029972076416,0.3277533333333333
30,0.0010520219802856445,0.3273893333333333
31,0.0009080290794372559,0.3258466666666667
32,0.0008320331573486329,0.32442533333333334
33,0.0007080316543579101,0.317752
34,0.0009560227394104004,0.3152906666666667
35,0.0008440256118774414,0.3171453333333333
36,0.0008800268173217773,0.3151866666666667
37,0.0008120179176330566,0.31151200000000007
38,0.0008120179176330566,0.31128666666666666
39,0.0005280137062072754,0.3113560000000001
40,0.0007680296897888183,0.3115813333333334
41,0.0007320284843444824,0.3089293333333334
42,0.0005680322647094727,0.3098306666666667
43,0.0006080269813537598,0.30620800000000004
44,0.0005320191383361816,0.30288
45,0.0007480144500732422,0.30483866666666665
46,0.0005640268325805664,0.30329600000000007
47,0.0005480289459228515,0.30000266666666675
48,0.000576019287109375,0.30213466666666666
49,0.00042401552200317384,0.3013893333333334
50,0.0003920316696166992,0.298512
51,0.00042003393173217773,0.2981133333333334
52,0.0004600167274475098,0.29476800000000003
53,0.0005560159683227539,0.2993786666666667
54,0.0004440188407897949,0.293988
55,0.00048402547836303713,0.29599866666666663
56,0.00037202835083007815,0.29436933333333337
57,0.00045201778411865237,0.29818266666666665
58,0.0005200266838073731,0.2944213333333333
59,0.00034000873565673826,0.294196
60,0.0005600214004516602,0.29286133333333336
61,0.0005400300025939942,0.29322533333333334
62,0.000372016429901123,0.2923586666666667
63,0.000464022159576416,0.2910066666666667
64,0.0003600120544433594,0.29109333333333337
