turn,qucb_mean,qucb_low,qucb_high,ucb_mean,ucb_low,ucb_high,thomp_mean,thomp_low,thomp_high
62500,11.65628000000326,11.286400443417946,12.026159556588574,15.403535714293545,15.315360429178334,15.491710999408756,11.758303571427769,10.121022103652919,13.395585039202619
63750,11.681280000003223,11.30883057625763,12.053729423748816,15.72092857143664,15.63268600158633,15.809171141286948,11.964232142856117,10.293054209726858,13.635410075985376
65000,11.70628000000319,11.330874498684777,12.081685501321603,16.031482142865155,15.941239420188406,16.121724865541903,12.165857142855932,10.461963454381895,13.86975083132997
66250,11.73128000000317,11.352541253774502,12.11001874623184,16.328714285721976,16.233534448878142,16.42389412256581,12.36603571428442,10.63035556728137,14.10171586128747
67500,11.756280000003157,11.37384070328716,12.138719296719154,16.64116071429284,16.547199778565272,16.73512165002041,12.570642857141477,10.803796501752123,14.337489212530832
68750,11.781280000003143,11.394783397491013,12.167776602515273,16.94487500000647,16.84683111397619,17.042918886036748,12.775071428569971,10.976879445528107,14.573263411611835
70000,11.806280000003131,11.415380444954467,12.197179555051795,17.2509821428629,17.151779680062273,17.350184605663525,12.989232142855611,11.15894547929233,14.819518806418893
71250,11.831280000003158,11.435643385388037,12.226916614618279,17.556250000005043,17.45274260532274,17.659757394687347,13.197303571427044,11.334941591111948,15.05966555174214
72500,11.856280000003187,11.455584068137119,12.256975931869254,17.859321428575768,17.752082317270602,17.966560539880934,13.406678571427054,11.512360269545978,15.300996873308131
73750,11.89922000000324,11.492974288024774,12.305465711981705,18.1638035714322,18.053269791553923,18.27433735131048,13.61274999999851,11.68742176774453,15.53807823225249
75000,12.249220000003668,11.833060086688603,12.665379913318732,18.46600000000293,18.361146638048357,18.5708533619575,13.81916071428425,11.862381076640734,15.775940351927765
76250,12.599220000004095,12.171099674809923,13.027340325198267,18.75255357143083,18.648486341624405,18.856620801237256,14.019624999998571,12.032151665243578,16.007098334753564
77500,12.949220000004523,12.507259145762008,13.391180854247038,19.07332142857294,18.963789447986002,19.182853409159875,14.221678571427164,12.203027909185197,16.240329233669133
78750,13.29922000000495,12.841709098533048,13.756730901476853,19.384089285715074,19.273311145580525,19.494867425849623,14.427696428570101,12.377423718077583,16.47796913906262
80000,13.649220000005378,13.174617537208416,14.123822462802341,19.680178571428666,19.569684355731585,19.790672787125747,14.629214285713116,12.547543066135464,16.71088550529077
81250,13.999220000005687,13.506144737125167,14.492295262886207,19.999803571427922,19.88857762182735,20.111029521028495,14.823249999998964,12.710200543654533,16.936299456343395
82500,14.349220000004916,13.836439953122392,14.86200004688744,20.282017857141547,20.17126072113685,20.392774993146244,15.01657142857052,12.871619589174813,17.161523267966228
83750,14.699220000004145,14.165639656905348,15.23280034310294,20.584410714283703,20.473896829099793,20.694924599467612,15.216017857142086,13.038174929280125,17.393860785004048
85000,15.049220000003375,14.493866929383927,15.604573070622823,20.880946428568727,20.76979368040029,20.992099176737163,15.421589285713637,13.210603169852462,17.63257540157481
86250,15.399220000002602,14.82123165410287,15.977208345902334,21.21537499999652,21.10185053865293,21.32889946134011,15.623285714285194,13.378694230845378,17.867877197725008
87500,15.749220000001833,15.147831217773728,16.350608782229937,21.506928571424407,21.389678996696247,21.624178146152566,15.823410714285327,13.544696817548324,18.10212461102233
88750,16.09922000000107,15.473751494616398,16.72468850538574,21.80471428570943,21.688285502073057,21.921143069345803,16.017678571428398,13.705098769686062,18.330258373170736
90000,16.449220000000338,15.79906795662055,17.099372043380125,22.11748214285156,21.997113706357624,22.237850579345498,16.216125000000076,13.869461839290592,18.562788160709562
91250,16.799219999999615,16.12384680521163,17.474593194787598,22.433107142850822,22.311622615788725,22.55459166991292,16.415892857143184,14.034947058570895,18.796838655715476
92500,17.149219999998888,16.4481460599542,17.850293940043574,22.72482142856443,22.597085920854134,22.852556936274723,16.616482142857716,14.200668908015864,19.03229537769957
93750,17.499219999998157,16.772016568332802,18.226423431663513,23.02532142856373,22.89527798798351,23.15536486914395,16.818339285715115,14.368773557134928,19.2679050142953
