turn,qucb_mean,ucb_mean,thomp_mean
0,0.005376056038585823,0.005376056038585823,0.005263224724238523
1250,5.28348982948751,5.462108581055636,4.442881919261225
2500,10.113903140753449,10.267195089879344,7.567787152151799
3750,15.726131637287383,14.627595278459905,10.080931989565071
5000,17.757394727892297,18.766904193594524,12.233006795724483
6250,20.60261668644966,22.673060950939856,14.05117947313372
7500,24.52904016409656,26.382769153495637,15.684113390572149
8750,26.49776599812002,29.982946906165147,17.16417116008081
10000,27.39763878271422,33.527134646742375,18.50208232119484
11250,29.919593604305994,37.10594752716365,19.76074005059821
12500,32.337745372149946,40.4698963521531,20.91350347682963
13750,33.99158097889909,43.74013123224734,21.9943628796689
15000,35.645416585648235,46.99540205547806,23.010856865219903
16250,37.2992521923974,50.24272232774988,23.971772614865447
17500,37.47714042748779,53.19060106969177,24.891790447645395
18750,38.12052812802344,56.24386978070238,25.77416392558691
20000,39.44439659860289,59.134017605184006,26.64039743650216
21250,40.81734102528478,62.022503039473904,27.457829160076717
22500,42.21068281990506,64.76961338225057,28.243779486717038
23750,43.604024614525315,67.49476484221316,28.99799343647336
25000,44.69714222684248,70.20494386279286,29.73376667664287
26250,45.3955206365019,72.84504410681622,30.452490658717153
27500,46.093899046161305,75.4143288796703,31.141113057453534
28750,46.79227745582072,77.949489619947,31.802170142455484
30000,47.49065586548013,80.4466517639849,32.44785633269924
31250,48.189034275139555,82.92390087657589,33.0761514781669
32500,48.887412684798974,85.3665370769073,33.68050278113491
33750,49.05048040128672,87.82182577811533,34.269792278081425
35000,49.285247523230545,90.11824999598511,34.84653854878133
36250,49.91515199950146,92.58002550876395,35.40960806152006
37500,50.525797951592395,95.0068587053148,35.94877224746762
38750,51.123690253362,97.31740925935401,36.46885587954321
40000,51.72158255513163,99.80240246791813,36.97802000658962
41250,52.30349634162673,102.07642684889841,37.47043463773116
42500,52.85255455025907,104.2783805276696,37.951732065054266
43750,53.40161275889143,106.31580437333159,38.42409123203992
45000,53.95067096752395,108.56030903532826,38.8951886950706
46250,54.49972917615647,110.76176427319919,39.359509598404074
47500,55.048787384788994,112.9948715175779,39.817946770490195
48750,55.597845593421546,115.17645720898898,40.267657792348
50000,55.94628467844343,117.19685365296169,40.69818222018925
51250,56.23681308860865,119.20249407209764,41.120323694533994
52500,56.52734149877384,121.39703623577074,41.53563347586429
53750,56.817869908938995,123.37089329915315,41.94345480079618
55000,57.108398319104154,125.27777223667285,42.34579464431503
56250,57.398926729269306,127.31949406171296,42.73525684258953
57500,57.689455139434486,129.27072480258397,43.12353439838803
58750,57.97998354959966,131.23525233403194,43.509323401634845
60000,58.27051195976483,133.13294791230527,43.89243683618214
61250,58.561040369929984,134.93352919626804,44.26872555876316
62500,58.85156878009515,136.948955324067,44.640223495981445
63750,59.14209719026031,138.80747379072602,45.00350220319018
65000,59.43262560042549,140.69970843069194,45.36753116893847
66250,59.56750288997447,142.41259077785296,45.73113030242537
67500,59.63017635271495,144.2343239916633,46.085780960873265
68750,59.85898800734791,146.1366490777366,46.434972644434154
70000,60.12821223948285,148.05591654690048,46.778634268308544
71250,60.46075227579441,149.76208297387686,47.11898793767811
72500,60.79329231210596,151.62350812085495,47.45727977319969
73750,61.12377973541761,153.39098033074296,47.79096536799333
75000,61.438501950549366,155.2785932016664,48.11982241496336
76250,61.75322416568113,157.088854698954,48.447191469986656
77500,62.067946380812884,158.86861427526648,48.76947518552617
78750,62.38266859594466,160.6627561170601,49.090297426161975
80000,62.69739081107643,162.47954034928327,49.40399522703025
81250,63.0121130262082,164.22114265366932,49.7139383610935
82500,63.27364474898518,165.97009277666132,50.01709199609603
83750,63.4940575805092,167.71331792496076,50.3164473490927
85000,63.71447041203321,169.54891299532324,50.61387728579494
86250,63.93488324355722,171.27988492710617,50.91194387891825
87500,64.15529607508118,172.97327819878578,51.20744303069699
88750,64.3757089066049,174.67596854544755,51.50506769736536
90000,64.59612173812862,176.3138843876451,51.80181090582485
91250,64.81653456965235,178.0662715702743,52.093504392748656
92500,65.03694740117606,179.73860510045594,52.382484292210236
93750,65.2573602326998,181.29049911188957,52.6718802168034
95000,65.47777306422353,182.8374724351598,52.95719577205173
96250,65.69818589574726,184.55483387093895,53.23283913283771
97500,65.918598727271,186.2598880063042,53.50600198759181
98750,66.09901091464093,187.91342311415903,53.772813225079084
100000,66.23231432945342,189.45254394162137,54.03723877812023
101250,66.3656177442659,190.82563824313468,54.297110615047174
102500,66.49892115907838,192.3760688213208,54.55395174346272
103750,66.63222457389084,193.89994669932554,54.808823973307405
105000,66.76552798870333,195.49270147078786,55.06271797442911
106250,66.89883140351579,197.2118093506313,55.31406799062819
107500,67.03213481832826,198.71729640451142,55.56270582561356
108750,67.16543823314073,200.2941280330235,55.81376186589694
110000,67.2987416479532,201.72715534955515,56.0621661895098
111250,67.43204506276567,203.1813739829837,56.31217299157427
112500,67.56534847757814,204.65988195506347,56.561131042582886
113750,67.6986518923906,206.0550043869881,56.80654081350643
115000,67.83195530720307,207.59908725191084,57.05032691808383
116250,67.96525872201555,209.14464277601496,57.29181444926924
117500,68.09856213682801,210.69834413415742,57.53188077537698
118750,68.23186555164047,212.30313299703306,57.77092007215062
120000,68.36516896645293,213.94254841284607,58.01311750560717
121250,68.49847238126539,215.45852692833833,58.25662100694718
122500,68.63177579607785,216.92914898592412,58.49514549380279
123750,68.7650792108903,218.3687644976687,58.730335715987856
125000,68.89838262570275,219.85980969499755,58.96465340221969
126250,69.0316860405152,221.21095296992857,59.20459495155079
127500,69.16498945532766,222.70124727279784,59.442228327691815
128750,69.29829287014012,224.12747738805095,59.67750789602257
130000,69.43159628495259,225.7046927786781,59.91030682443097
131250,69.54239775684049,227.162727939492,60.138931130039765
132500,69.5846738944501,228.5170845433122,60.36379728291126
133750,69.64758250912449,229.998978788377,60.590273363916964
135000,69.7242920196727,231.53177286354543,60.814801924419974
136250,69.92534507419194,232.86341829343803,61.03460823219774
137500,70.13114879567352,234.13932760894406,61.25269973013013
138750,70.33695251715511,235.44744718480345,61.46802034371195
140000,70.52821296395662,236.82514474787916,61.68322691754978
141250,70.71290275587944,238.1917822243551,61.895473762203416
