episode,A2C,DQN,PPO,QNN
230,114.875,22.06,61.035000000000004,113.285
231,114.2,22.07,60.8,112.88499999999999
232,114.785,22.345,60.815,112.84
233,115.845,22.27,61.855000000000004,109.81500000000001
234,115.98499999999999,22.27,61.529999999999994,109.175
235,114.88,22.075,61.08,108.42999999999999
236,113.11000000000001,22.055,62.214999999999996,109.53
237,111.60499999999999,22.044999999999998,62.17999999999999,109.11500000000001
238,110.9,22.5,63.045,110.79
239,110.745,22.72,65.1,110.75
240,110.47999999999999,22.805,66.94,110.43499999999999
241,111.72,22.884999999999998,68.185,113.00999999999999
242,113.285,22.425,68.92,114.745
243,113.75,22.630000000000003,69.8,116.06500000000001
244,116.085,23.095,71.28999999999999,116.22999999999999
245,116.84,22.945,71.14,114.41499999999999
246,120.465,23.115000000000002,72.74,113.13
247,123.55,23.355,72.87,112.125
248,127.85,23.615000000000002,73.285,115.01500000000001
249,132.325,23.39,75.02000000000001,114.03999999999999
250,137.755,23.080000000000002,75.775,111.845
251,140.445,23.505000000000003,78.575,110.85
252,144.94,23.509999999999998,81.35499999999999,110.97999999999999
253,149.4,23.79,81.53999999999999,113.75999999999999
254,155.275,24.005000000000003,83.89,113.6
255,159.35999999999999,24.285,87.955,115.33
256,164.175,24.98,91.21000000000001,117.915
257,167.38,24.905,92.62,118.75999999999999
258,169.825,24.765,94.42,119.44000000000001
259,173.635,24.9,95.595,119.41
260,176.23,24.79,97.16499999999999,121.03
261,178.255,24.44,99.06,123.45
262,181.13,24.55,100.96000000000001,125.18499999999999
263,184.645,24.55,103.095,126.295
264,187.835,24.455000000000002,105.96,127.25
265,190.825,24.365000000000002,109.61500000000001,128.755
266,192.155,24.48,113.755,131.535
267,193.62,24.165,117.63,133.58499999999998
268,194.475,23.8,119.465,135.04
269,193.105,24.05,123.045,137.45
270,191.62,24.16,126.97999999999999,141.435
271,191.725,23.805,129.95999999999998,144.055
272,190.805,23.53,133.73499999999999,144.17000000000002
273,188.185,23.245,139.8,144.45499999999998
274,185.895,23.38,142.85,146.01
275,184.735,23.56,144.525,146.745
276,184.18,22.845,145.115,146.075
277,184.72,22.78,153.25,146.63
278,185.07,22.68,159.11999999999998,148.475
279,183.51000000000002,22.080000000000002,162.095,148.72
280,185.255,22.259999999999998,166.075,148.965
281,187.48,22.435,170.10999999999999,148.57
282,187.92000000000002,22.61,176.44,151.63
283,187.62,22.93,184.28500000000003,150.48499999999999
284,187.51500000000001,22.7,188.54000000000002,152.53
285,186.23499999999999,22.630000000000003,194.87,154.52
286,184.105,22.315,197.95499999999998,154.85
