n,p
532,0.488
533,0.47
534,0.501
535,0.467
536,0.474
537,0.471
538,0.469
539,0.503
540,0.473
541,0.46
542,0.491
543,0.479
544,0.464
545,0.472
546,0.49
547,0.467
548,0.502
549,0.513
550,0.465
551,0.488
552,0.494
553,0.468
554,0.477
555,0.491
556,0.496
557,0.496
558,0.483
559,0.486
560,0.476
561,0.493
562,0.49
563,0.473
564,0.476
565,0.48
566,0.501
567,0.444
568,0.483
569,0.499
570,0.467
571,0.51
572,0.52
573,0.488
574,0.499
575,0.495
576,0.491
577,0.522
578,0.476
579,0.48
580,0.495
581,0.509
582,0.476
583,0.506
584,0.501
585,0.483
586,0.485
587,0.486
588,0.474
589,0.51
590,0.488
591,0.507
592,0.48
593,0.494
594,0.51
595,0.477
596,0.486
597,0.495
598,0.505
599,0.486
600,0.539
601,0.503
602,0.47
603,0.497
604,0.502
605,0.47
606,0.485
607,0.494
608,0.49
609,0.507
610,0.509
611,0.492
612,0.481
613,0.506
614,0.467
615,0.475
616,0.504
617,0.489
618,0.51
619,0.504
620,0.499
621,0.5
622,0.503
623,0.501
624,0.525
625,0.46
626,0.532
627,0.511
628,0.469
629,0.494
630,0.52
631,0.527
632,0.517
633,0.505
634,0.497
635,0.49
636,0.482
637,0.491
638,0.513
639,0.51
640,0.49
641,0.479
642,0.528
643,0.503
644,0.474
645,0.522
646,0.508
647,0.509
648,0.515
649,0.513
650,0.518
651,0.488
652,0.495
653,0.496
654,0.497
655,0.507
656,0.514
657,0.482
658,0.504
659,0.517
660,0.5
661,0.489
662,0.524
663,0.483
664,0.516
665,0.5
666,0.499
667,0.476
668,0.505
669,0.53
670,0.53
671,0.496
672,0.515
673,0.516
674,0.518
675,0.528
676,0.522
677,0.503
678,0.511
679,0.49
680,0.522
681,0.467
682,0.485
683,0.519
684,0.503
685,0.48
686,0.532
687,0.54
688,0.52
689,0.521
690,0.509
691,0.518
692,0.51
693,0.511
694,0.507
695,0.533
696,0.511
697,0.484
698,0.481
699,0.505
700,0.514
701,0.496
702,0.506
703,0.505
704,0.51
705,0.523
706,0.479
707,0.527
708,0.482
709,0.486
710,0.505
711,0.496
712,0.495
713,0.512
714,0.504
715,0.508
716,0.48
717,0.505
718,0.51
719,0.486
720,0.503
721,0.525
722,0.488
723,0.532
724,0.514
725,0.488
726,0.496
727,0.503
728,0.518
729,0.481
730,0.502
731,0.473
732,0.529
733,0.494
734,0.501
735,0.514
736,0.486
737,0.471
738,0.499
739,0.513
740,0.469
741,0.496
742,0.48
743,0.489
744,0.516
745,0.488
746,0.486
747,0.478
748,0.507
749,0.509
750,0.49
751,0.486
752,0.504
753,0.536
754,0.503
755,0.507
756,0.494
757,0.512
758,0.504
759,0.474
760,0.501
761,0.496
762,0.504
763,0.502
764,0.53
765,0.512
766,0.504
767,0.535
768,0.509
769,0.507
770,0.517
771,0.51
772,0.514
773,0.504
774,0.507
775,0.498
776,0.484
777,0.505
778,0.528
779,0.474
780,0.506
781,0.531
782,0.477
783,0.536
784,0.53
785,0.519
786,0.481
787,0.481
788,0.499
789,0.481
790,0.51
791,0.505
792,0.514
793,0.515
794,0.507
795,0.506
796,0.5
797,0.502
798,0.492
799,0.486
800,0.497
801,0.495
802,0.501
803,0.468
804,0.499
805,0.49
806,0.51
807,0.529
808,0.492
809,0.511
810,0.462
811,0.515
812,0.515
813,0.492
814,0.537
815,0.488
816,0.505
817,0.509
818,0.51
819,0.507
820,0.498
821,0.506
822,0.518
823,0.504
824,0.484
825,0.508
826,0.491
827,0.496
828,0.506
829,0.489
830,0.501
831,0.49
