turn,qucb_mean,qucb_low,qucb_high,ucb_mean,ucb_low,ucb_high,thomp_mean,thomp_low,thomp_high
0,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.03,0.029999999329447746,0.029999999329447746,0.0028,0.002348739050394473,0.003251260749929967
1250,18.360199999999907,18.077909513465414,18.6424904865344,17.286999,17.116111250691237,17.457886246867357,10.7676,10.238010617073947,11.297189501944608
2500,31.331300000000443,31.05836282755774,31.604237172443145,33.7178,33.36372562902392,34.0718746517378,19.714,18.91022591887628,20.517775484932315
3750,55.256400000002,55.14425259339765,55.36854740660635,49.725697,49.253650663176536,50.19774246426487,28.2172,27.147210777745002,29.287187873378045
5000,61.75540000000257,61.33555781175754,62.175242188247594,64.9408,64.29714130055235,65.58446575511171,38.2732,37.146652955948944,39.39974902159012
6250,75.6221000000029,75.2065790225213,76.03762097748451,79.375496,78.65088593200198,80.10010588928708,46.196,44.9533069919035,47.43869129911212
7500,102.24300000000119,101.28058828294283,103.20541171705955,93.9784,93.11746674883055,94.83933561933351,54.483597,53.15658633370819,55.810607269807434
8750,115.38890000000175,114.2216299491497,116.55617005085381,108.144005,107.09407525185082,109.19393439170386,61.6144,60.1052111433911,63.123586769206554
10000,121.96890000000022,121.28306059106531,122.65473940893513,122.3442,121.1608866594591,123.52751360909559,69.083595,67.36909603658005,70.79809451517777
11250,132.05270000000067,131.44340456561474,132.6619954343866,135.6747,134.39980079361936,136.94959495833376,76.257195,74.36885072884566,78.14553830924028
12500,139.78799999999526,138.97453021511748,140.60146978487305,149.0908,147.6994705960611,150.48213951136077,83.02,80.90789561139411,85.1320976747387
13750,142.51819999999648,141.26994050563903,143.76645949435394,162.651,161.08956139571475,164.21244055741025,89.684006,87.3053550830047,92.06265639160468
15000,143.88479999999703,142.47197956361597,145.29762043637808,174.4931,172.84214820386038,176.14405785082712,96.4892,93.79026063496434,99.18813291972316
16250,145.3305999999969,143.92720452293,146.73399547706381,187.6826,185.92744814164385,189.43775571577802,101.992805,99.01880048498178,104.96681047693228
