arm,est,up,est_q,up_q
1,0.6385542168674698,0.2355503728386666,0.6909248055315471,0.05642884436217473
2,0.0,0.8527204316947604,0.22058823529411764,0.5204732114928226
3,0.32608695652173914,0.5480302783995622,0.373134328358209,0.3707664584963332
4,0.39344262295081966,0.4759031200136837,0.3010752688172043,0.445052621558931
5,0.6549295774647887,0.2205587539330369,0.6570428696412949,0.08976658938830115
6,0.08695652173913043,0.7750318523037638,0.27380952380952384,0.4682881787749775
7,0.35294117647058826,0.5204732114928226,0.46320346320346323,0.28238839686463124
8,0.6479400749063671,0.22747194384323807,0.6285064442759667,0.11817631404335502
